t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
13,W1,323,0,0,1201,212,201,EOD,0,0,10.65,0.0,0.0,0.0,10.65
13,W2,319,0,0,1373,157,211,EOD,0,0,10.65,0.0,0.0,0.0,10.65
13,R1,202,0,0,226,160,96,EOD,160,160,10.65,0.0,0.0,0.0,10.65
13,R2,66,0,0,297,118,113,EOD,118,118,10.65,0.0,0.0,0.0,10.65
13,R3,355,0,0,751,251,276,EOD,251,251,10.65,0.0,0.0,0.0,10.65
14,Supplier,0,0,0,0,0,0,EOD,0,0,6.96,0.0,0.0,0.0,6.96
14,W1,370,0,0,1088,278,325,EOD,0,0,6.96,0.0,0.0,0.0,6.96
14,W2,272,0,0,1326,251,204,EOD,0,0,6.96,0.0,0.0,0.0,6.96
14,R1,85,0,0,279,224,107,EOD,224,224,6.96,0.0,0.0,0.0,6.96
14,R2,30,0,0,309,142,106,EOD,142,142,6.96,0.0,0.0,0.0,6.96
14,R3,232,0,0,778,347,224,EOD,347,347,6.96,0.0,0.0,0.0,6.96
15,Supplier,0,0,0,0,0,0,EOD,0,0,2.52,0.0,0.0,0.0,2.52
15,W1,265,0,0,1105,366,261,EOD,0,0,2.52,0.0,0.0,0.0,2.52
15,W2,224,0,0,1278,347,299,EOD,0,0,2.52,0.0,0.0,0.0,2.52
15,R1,0,22,0,384,226,119,EOD,226,204,2.52,0.0,0.0,0.0,2.52
15,R2,0,27,0,353,155,98,EOD,155,128,2.52,0.0,0.0,0.0,2.52
15,R3,84,0,0,941,332,184,EOD,332,332,2.52,0.0,0.0,0.0,2.52
16,Supplier,0,0,0,0,0,0,EOD,0,0,1.5899999999999999,0.0,0.0,0.0,1.5899999999999999
16,W1,92,0,0,1263,381,208,EOD,0,0,1.5899999999999999,0.0,0.0,0.0,1.5899999999999999
16,W2,168,0,0,1349,332,276,EOD,0,0,1.5899999999999999,0.0,0.0,0.0,1.5899999999999999
16,R1,0,4,0,450,142,160,EOD,142,138,1.5899999999999999,0.0,0.0,0.0,1.5899999999999999
16,R2,0,27,0,415,93,93,EOD,93,66,1.5899999999999999,0.0,0.0,0.0,1.5899999999999999
16,R3,53,0,0,1087,217,186,EOD,217,217,1.5899999999999999,0.0,0.0,0.0,1.5899999999999999
17,Supplier,0,0,0,0,0,0,EOD,0,0,0.0,18.0,0.0,0.0,18.0
17,W1,59,0,0,1442,235,202,EOD,0,0,0.0,18.0,0.0,0.0,18.0
17,W2,175,0,0,1457,217,224,EOD,0,0,0.0,18.0,0.0,0.0,18.0
17,R1,87,0,0,368,133,224,EOD,133,133,0.0,18.0,0.0,0.0,18.0
17,R2,8,0,0,390,83,118,EOD,83,83,0.0,18.0,0.0,0.0,18.0
17,R3,0,36,0,1147,246,157,EOD,246,210,0.0,18.0,0.0,0.0,18.0
18,Supplier,0,0,0,0,0,0,EOD,0,0,0.99,0.0,0.0,0.0,0.99
18,W1,48,0,0,1472,216,205,EOD,0,0,0.99,0.0,0.0,0.0,0.99
18,W2,113,0,0,1490,246,184,EOD,0,0,0.99,0.0,0.0,0.0,0.99
18,R1,187,0,0,275,126,226,EOD,126,126,0.99,0.0,0.0,0.0,0.99
18,R2,73,0,0,331,77,142,EOD,77,77,0.99,0.0,0.0,0.0,0.99
18,R3,33,0,0,1142,182,251,EOD,182,182,0.99,0.0,0.0,0.0,0.99
19,Supplier,0,0,0,0,0,0,EOD,0,0,5.79,0.0,0.0,0.0,5.79
19,W1,57,0,0,1476,203,212,EOD,0,0,5.79,0.0,0.0,0.0,5.79
19,W2,117,0,0,1550,182,186,EOD,0,0,5.79,0.0,0.0,0.0,5.79
19,R1,194,0,0,259,135,142,EOD,135,135,5.79,0.0,0.0,0.0,5.79
19,R2,151,0,0,253,77,155,EOD,77,77,5.79,0.0,0.0,0.0,5.79
19,R3,193,0,0,977,187,347,EOD,187,187,5.79,0.0,0.0,0.0,5.79
20,Supplier,0,0,0,0,0,0,EOD,0,0,8.31,0.0,0.0,0.0,8.31
20,W1,123,0,0,1401,212,278,EOD,0,0,8.31,0.0,0.0,0.0,8.31
20,W2,87,0,0,1575,187,157,EOD,0,0,8.31,0.0,0.0,0.0,8.31
20,R1,173,0,0,261,154,133,EOD,154,154,8.31,0.0,0.0,0.0,8.31
20,R2,157,0,0,237,87,93,EOD,87,87,8.31,0.0,0.0,0.0,8.31
20,R3,277,0,0,832,248,332,EOD,248,248,8.31,0.0,0.0,0.0,8.31
21,Supplier,0,0,0,0,0,0,EOD,0,0,5.7,0.0,0.0,0.0,5.7
21,W1,248,0,0,1247,241,366,EOD,0,0,5.7,0.0,0.0,0.0,5.7
21,W2,90,0,0,1511,248,251,EOD,0,0,5.7,0.0,0.0,0.0,5.7
21,R1,95,0,0,289,204,126,EOD,204,204,5.7,0.0,0.0,0.0,5.7
21,R2,140,0,0,241,100,83,EOD,100,100,5.7,0.0,0.0,0.0,5.7
21,R3,190,0,0,863,304,217,EOD,304,304,5.7,0.0,0.0,0.0,5.7
22,Supplier,0,0,0,0,0,0,EOD,0,0,4.92,0.0,0.0,0.0,4.92
22,W1,325,0,0,1107,304,381,EOD,0,0,4.92,0.0,0.0,0.0,4.92
22,W2,133,0,0,1412,304,347,EOD,0,0,4.92,0.0,0.0,0.0,4.92
22,R1,46,0,0,358,184,135,EOD,184,184,4.92,0.0,0.0,0.0,4.92
22,R2,109,0,0,264,108,77,EOD,108,108,4.92,0.0,0.0,0.0,4.92
22,R3,164,0,0,921,272,246,EOD,272,272,4.92,0.0,0.0,0.0,4.92
23,Supplier,0,0,0,0,0,0,EOD,0,0,5.22,0.0,0.0,0.0,5.22
23,W1,268,0,0,1176,292,235,EOD,0,0,5.22,0.0,0.0,0.0,5.22
23,W2,193,0,0,1384,272,332,EOD,0,0,5.22,0.0,0.0,0.0,5.22
23,R1,83,0,0,388,117,154,EOD,117,117,5.22,0.0,0.0,0.0,5.22
23,R2,97,0,0,295,89,77,EOD,89,89,5.22,0.0,0.0,0.0,5.22
23,R3,174,0,0,1011,172,182,EOD,172,172,5.22,0.0,0.0,0.0,5.22
24,Supplier,0,0,0,0,0,0,EOD,0,0,4.47,0.0,0.0,0.0,4.47
24,W1,278,0,0,1252,206,216,EOD,0,0,4.47,0.0,0.0,0.0,4.47
24,W2,238,0,0,1439,172,217,EOD,0,0,4.47,0.0,0.0,0.0,4.47
24,R1,148,0,0,301,139,204,EOD,139,139,4.47,0.0,0.0,0.0,4.47
24,R2,101,0,0,297,83,87,EOD,83,83,4.47,0.0,0.0,0.0,4.47
24,R3,149,0,0,996,212,187,EOD,212,212,4.47,0.0,0.0,0.0,4.47
25,Supplier,0,0,0,0,0,0,EOD,0,0,5.76,0.0,0.0,0.0,5.76
